375,416
205,427
375,439
382,453
419,425
420,381
434,349
440,307
441,267
448,241
411,224
360,417
474,168
512,143
552,120
568,92
603,73
355,417
654,78
672,100
636,123
600,157
580,161
543,191
496,214
499,265
502,313
523,356
489,379
483,447
467,472
358,417
467,516
432,551
420,587
438,601
451,602
497,592
494,538
543,551
542,504
560,447
585,402
563,383
562,384
563,293
579,266
579,266
618,330
676,297
704,239
671,200
360,419
717,167
724,146
741,134
713,97
750,105
764,83
770,68
361,419
779,89
823,91
822,88
790,112
782,131
777,137
782,162
815,197
770,199
771,224
772,254
741,206
359,418
682,263
724,274
692,316
702,321
695,336
712,388
698,391
687,420
690,451
655,463
681,506
635,502
664,540
623,553
606,542
599,578
614,601
622,616
162,582
645,662
695,665
693,688
701,640
743,661
743,625
745,608
788,547
763,523
804,499
813,471
821,444
842,415
824,389
830,366
356,419
865,329
839,284
841,278
880,269
897,240
361,418
930,258
888,288
891,300
920,331
890,346
914,379
891,402
886,417
897,455
913,481
901,484
891,511
865,522
890,551
882,588
896,607
935,619
954,599
970,576
986,556
968,539
1002,512
1005,487
1005,470
999,434
1009,396
991,376
1008,342
974,326
968,303
984,272
979,265
986,238
990,215
981,192
934,145
909,130
895,119
898,105
855,91
832,81
834,78
855,72
856,76
897,86
892,100
359,418
941,127
952,144
972,156
357,418
357,419
1010,210
360,419
1049,245
1051,272
1070,294
1066,313
1081,339
1088,361
359,418
1080,377
1069,370
358,419
1046,407
997,398
1010,439
976,434
946,410
938,431
906,417
924,381
884,386
865,347
872,374
853,404
833,361
796,368
801,328
757,329
760,285
756,273
708,265
720,227
680,258
